x-axis,1,N_LBL
second,Volt,Volt
-25.00000E-06,+2.46289062500E+00,+15.62500000E-03
-24.95000E-06,+2.48828125000E+00,+13.67187500E-03
-24.90000E-06,+2.50585937500E+00,+17.57812500E-03
-24.85000E-06,+2.52148437500E+00,+15.62500000E-03
-24.80000E-06,+2.54687500000E+00,+27.34375000E-03
-24.75000E-06,+2.56640625000E+00,+9.76562500E-03
-24.70000E-06,+2.58593750000E+00,+13.67187500E-03
-24.65000E-06,+2.60546875000E+00,+11.71875000E-03
-24.60000E-06,+2.62500000000E+00,+15.62500000E-03
-24.55000E-06,+2.65429687500E+00,+17.57812500E-03
-24.50000E-06,+2.66796875000E+00,+21.48437500E-03
-24.45000E-06,+2.69531250000E+00,+17.57812500E-03
-24.40000E-06,+2.71484375000E+00,+21.48437500E-03
-24.35000E-06,+2.74023437500E+00,+13.67187500E-03
-24.30000E-06,+2.76367187500E+00,+9.76562500E-03
-24.25000E-06,+2.77734375000E+00,+13.67187500E-03
-24.20000E-06,+2.79492187500E+00,+15.62500000E-03
-24.15000E-06,+2.81640625000E+00,+11.71875000E-03
-24.10000E-06,+2.84375000000E+00,+21.48437500E-03
-24.05000E-06,+2.85742187500E+00,+17.57812500E-03
-24.00000E-06,+2.88281250000E+00,+13.67187500E-03
-23.95000E-06,+2.90429687500E+00,+17.57812500E-03
-23.90000E-06,+2.92578125000E+00,+15.62500000E-03
-23.85000E-06,+2.94335937500E+00,+15.62500000E-03
-23.80000E-06,+2.96679687500E+00,+13.67187500E-03
-23.75000E-06,+2.98828125000E+00,+23.43750000E-03
-23.70000E-06,+3.00390625000E+00,+15.62500000E-03
-23.65000E-06,+3.02929687500E+00,+19.53125000E-03
-23.60000E-06,+3.04296875000E+00,+21.48437500E-03
-23.55000E-06,+3.06445312500E+00,+21.48437500E-03
-23.50000E-06,+3.08789062500E+00,+23.43750000E-03
-23.45000E-06,+3.09765625000E+00,+17.57812500E-03
-23.40000E-06,+3.12500000000E+00,+19.53125000E-03
-23.35000E-06,+3.15234375000E+00,+25.39062500E-03
-23.30000E-06,+3.16601562500E+00,+19.53125000E-03
-23.25000E-06,+3.18750000000E+00,+19.53125000E-03
-23.20000E-06,+3.19921875000E+00,+19.53125000E-03
-23.15000E-06,+3.22070312500E+00,+25.39062500E-03
-23.10000E-06,+3.24609375000E+00,+23.43750000E-03
-23.05000E-06,+3.26757812500E+00,+19.53125000E-03
-23.00000E-06,+3.28515625000E+00,+19.53125000E-03
-22.95000E-06,+3.30664062500E+00,+23.43750000E-03
-22.90000E-06,+3.32031250000E+00,+25.39062500E-03
-22.85000E-06,+3.34570312500E+00,+19.53125000E-03
-22.80000E-06,+3.36914062500E+00,+21.48437500E-03
-22.75000E-06,+3.38671875000E+00,+23.43750000E-03
-22.70000E-06,+3.41406250000E+00,+17.57812500E-03
-22.65000E-06,+3.44140625000E+00,+17.57812500E-03
-22.60000E-06,+3.45703125000E+00,+23.43750000E-03
-22.55000E-06,+3.47656250000E+00,+19.53125000E-03
-22.50000E-06,+3.49218750000E+00,+19.53125000E-03
-22.45000E-06,+3.51757812500E+00,+23.43750000E-03
-22.40000E-06,+3.53515625000E+00,+21.48437500E-03
-22.35000E-06,+3.55273437500E+00,+25.39062500E-03
-22.30000E-06,+3.57421875000E+00,+27.34375000E-03
-22.25000E-06,+3.59179687500E+00,+39.06250000E-03
-22.20000E-06,+3.61523437500E+00,+62.50000000E-03
-22.15000E-06,+3.63671875000E+00,+123.04687500E-03
-22.10000E-06,+3.66601562500E+00,+244.14062500E-03
-22.05000E-06,+3.69140625000E+00,+507.81250000E-03
-22.00000E-06,+3.75390625000E+00,+1.17968750000E+00
-21.95000E-06,+3.95507812500E+00,+3.31445312500E+00
-21.90000E-06,+4.26367187500E+00,+4.50976562500E+00
-21.85000E-06,+4.45703125000E+00,+4.84179687500E+00
-21.80000E-06,+4.54296875000E+00,+4.93750000000E+00
-21.75000E-06,+4.47656250000E+00,+4.95507812500E+00
-21.70000E-06,+4.33789062500E+00,+4.94921875000E+00
-21.65000E-06,+4.23828125000E+00,+4.95312500000E+00
-21.60000E-06,+4.14062500000E+00,+4.95507812500E+00
-21.55000E-06,+4.04296875000E+00,+4.95117187500E+00
-21.50000E-06,+3.93750000000E+00,+4.95507812500E+00
-21.45000E-06,+3.82226562500E+00,+4.95898437500E+00
-21.40000E-06,+3.70312500000E+00,+4.95507812500E+00
