x-axis,MATH
Hertz,dBV
+0E+00,-43.28906E+00
+100E+00,-35.98438E+00
+200E+00,-28.64063E+00
+300E+00,-21.17969E+00
+400E+00,-13.67969E+00
+500E+00,-6.72656E+00
+600E+00,-4.57813E+00
+700E+00,-3.25000E+00
+800E+00,-2.70313E+00
+900E+00,-2.89844E+00
+1.000E+03,-3.56250E+00
+1.100E+03,-3.48438E+00
+1.200E+03,-3.56250E+00
+1.300E+03,-3.79688E+00
+1.400E+03,-4.22656E+00
+1.500E+03,-4.77344E+00
+1.600E+03,-5.43750E+00
+1.700E+03,-6.21875E+00
+1.800E+03,-7.19531E+00
+1.900E+03,-8.32813E+00
+2.000E+03,-9.57813E+00
+2.100E+03,-10.94531E+00
+2.200E+03,-12.58594E+00
+2.300E+03,-14.50000E+00
+2.400E+03,-16.68750E+00
+2.500E+03,-19.61719E+00
+2.600E+03,-22.93750E+00
+2.700E+03,-26.41406E+00
+2.800E+03,-29.96875E+00
+2.900E+03,-33.60156E+00
+3.000E+03,-37.35156E+00
+3.100E+03,-40.67188E+00
+3.200E+03,-43.56250E+00
+3.300E+03,-45.98438E+00
+3.400E+03,-47.89844E+00
+3.500E+03,-47.85938E+00
+3.600E+03,-47.27344E+00
+3.700E+03,-46.33594E+00
+3.800E+03,-45.04688E+00
+3.900E+03,-43.40625E+00
+4.000E+03,-42.31250E+00
+4.100E+03,-41.45313E+00
+4.200E+03,-40.86719E+00
+4.300E+03,-40.55469E+00
+4.400E+03,-40.67188E+00
+4.500E+03,-41.84375E+00
+4.600E+03,-43.28906E+00
+4.700E+03,-45.04688E+00
+4.800E+03,-47.07813E+00
+4.900E+03,-49.42188E+00
+5.000E+03,-51.92188E+00
+5.100E+03,-54.26563E+00
+5.200E+03,-56.45313E+00
+5.300E+03,-58.44531E+00
+5.400E+03,-59.92969E+00
+5.500E+03,-60.63281E+00
+5.600E+03,-60.90625E+00
+5.700E+03,-60.90625E+00
+5.800E+03,-60.51563E+00
+5.900E+03,-59.46094E+00
