x-axis,1,N_LBL
second,Volt,Volt
-70.00000E-06,-188.86721134E-03,+2.22429695210E+00
-69.95000E-06,-183.98439884E-03,+2.22019538954E+00
-69.90000E-06,-179.10158634E-03,+2.21765632700E+00
-69.85000E-06,-170.31252384E-03,+2.21492195196E+00
-69.80000E-06,-165.42971134E-03,+2.21257820193E+00
-69.75000E-06,-159.57033634E-03,+2.21082038940E+00
-69.70000E-06,-155.66408634E-03,+2.20828132686E+00
-69.65000E-06,-143.94533634E-03,+2.20496101431E+00
-69.60000E-06,-142.96877384E-03,+2.20242195178E+00
-69.55000E-06,-138.08596134E-03,+2.19910163923E+00
-69.50000E-06,-132.22658634E-03,+2.19578132668E+00
-69.45000E-06,-126.36721134E-03,+2.19363288915E+00
-69.40000E-06,-124.41408634E-03,+2.19109382661E+00
-69.35000E-06,-121.48439884E-03,+2.18777351406E+00
-69.30000E-06,-118.55471134E-03,+2.18562507653E+00
-69.25000E-06,-117.57814884E-03,+2.18074226395E+00
-69.20000E-06,-112.69533634E-03,+2.17839851392E+00
-69.15000E-06,-114.64846134E-03,+2.17585945138E+00
-69.10000E-06,-111.71877384E-03,+2.17351570135E+00
-69.05000E-06,-108.78908634E-03,+2.17058601380E+00
-69.00000E-06,-108.78908634E-03,+2.16824226377E+00
-68.95000E-06,-108.78908634E-03,+2.16433601371E+00
-68.90000E-06,-88.28127384E-03,+2.16375007620E+00
-68.85000E-06,-117.57814884E-03,+2.15808601362E+00
-68.80000E-06,-98.04689884E-03,+2.15847663862E+00
-68.75000E-06,-110.74221134E-03,+2.15398445106E+00
-68.70000E-06,-99.02346134E-03,+2.15183601352E+00
-68.65000E-06,-113.67189884E-03,+2.14656257594E+00
-68.60000E-06,-113.67189884E-03,+2.14363288840E+00
-68.55000E-06,-104.88283634E-03,+2.14128913837E+00
-68.50000E-06,-112.69533634E-03,+2.13835945082E+00
-68.45000E-06,-116.60158634E-03,+2.13679695080E+00
-68.40000E-06,-115.62502384E-03,+2.13386726326E+00
-68.35000E-06,-122.46096134E-03,+2.13074226321E+00
-68.30000E-06,-127.34377384E-03,+2.12761726316E+00
-68.25000E-06,-132.22658634E-03,+2.12507820062E+00
-68.20000E-06,-132.22658634E-03,+2.12156257557E+00
-68.15000E-06,-133.20314884E-03,+2.11902351303E+00
-68.10000E-06,-135.15627384E-03,+2.11609382549E+00
-68.05000E-06,-146.87502384E-03,+2.11375007546E+00
-68.00000E-06,-155.66408634E-03,+2.11257820044E+00
-67.95000E-06,-162.50002384E-03,+2.10867195038E+00
-67.90000E-06,-164.45314884E-03,+2.10808601287E+00
-67.85000E-06,-172.26564884E-03,+2.10515632533E+00
