x-axis,1,N_LBL
second,Volt,Volt
-250.0000E-03,+2.5845703E+00,-2.8320E-03
-249.5000E-03,+2.5853516E+00,-3.7109E-03
-249.0000E-03,+2.5855469E+00,-4.6875E-03
-248.5000E-03,+2.5857422E+00,-5.4688E-03
-248.0000E-03,+2.5849609E+00,-6.1523E-03
-247.5000E-03,+2.5847656E+00,-6.8359E-03
-247.0000E-03,+2.5855469E+00,-7.4219E-03
-246.5000E-03,+2.5847656E+00,-8.3008E-03
-246.0000E-03,+2.5843750E+00,-9.2773E-03
-245.5000E-03,+2.5835938E+00,-10.1563E-03
-245.0000E-03,+2.5841797E+00,-10.6445E-03
-244.5000E-03,+2.5833984E+00,-11.5234E-03
-244.0000E-03,+2.5820313E+00,-12.2070E-03
-243.5000E-03,+2.5814453E+00,-12.8906E-03
-243.0000E-03,+2.5812500E+00,-13.5742E-03
-242.5000E-03,+2.5798828E+00,-14.1602E-03
-242.0000E-03,+2.5787109E+00,-15.0391E-03
-241.5000E-03,+2.5763672E+00,-16.0156E-03
-241.0000E-03,+2.5759766E+00,-16.5039E-03
-240.5000E-03,+2.5748047E+00,-17.0898E-03
-240.0000E-03,+2.5734375E+00,-18.0664E-03
-239.5000E-03,+2.5728516E+00,-18.7500E-03
-239.0000E-03,+2.5708984E+00,-19.2383E-03
-238.5000E-03,+2.5697266E+00,-19.8242E-03
-238.0000E-03,+2.5685547E+00,-20.5078E-03
-237.5000E-03,+2.5660156E+00,-21.1914E-03
-237.0000E-03,+2.5644531E+00,-21.6797E-03
-236.5000E-03,+2.5630859E+00,-22.0703E-03
-236.0000E-03,+2.5613281E+00,-22.6563E-03
-235.5000E-03,+2.5585938E+00,-23.2422E-03
-235.0000E-03,+2.5572266E+00,-23.7305E-03
-234.5000E-03,+2.5562500E+00,-24.1211E-03
-234.0000E-03,+2.5550781E+00,-24.7070E-03
-233.5000E-03,+2.5523438E+00,-25.2930E-03
-233.0000E-03,+2.5503906E+00,-25.4883E-03
-232.5000E-03,+2.5498047E+00,-25.8789E-03
-232.0000E-03,+2.5472656E+00,-26.4648E-03
-231.5000E-03,+2.5443359E+00,-26.9531E-03
-231.0000E-03,+2.5417969E+00,-27.0508E-03
-230.5000E-03,+2.5406250E+00,-27.2461E-03
-230.0000E-03,+2.5388672E+00,-27.3438E-03
-229.5000E-03,+2.5365234E+00,-27.7344E-03
-229.0000E-03,+2.5339844E+00,-28.0273E-03
-228.5000E-03,+2.5320313E+00,-28.0273E-03
-228.0000E-03,+2.5306641E+00,-28.4180E-03
-227.5000E-03,+2.5271484E+00,-28.5156E-03
-227.0000E-03,+2.5244141E+00,-28.5156E-03
-226.5000E-03,+2.5218750E+00,-28.6133E-03
-226.0000E-03,+2.5197266E+00,-28.6133E-03
-225.5000E-03,+2.5169922E+00,-28.4180E-03
-225.0000E-03,+2.5138672E+00,-28.6133E-03
-224.5000E-03,+2.5115234E+00,-28.6133E-03
-224.0000E-03,+2.5095703E+00,-28.3203E-03
-223.5000E-03,+2.5070313E+00,-28.3203E-03
-223.0000E-03,+2.5042969E+00,-28.3203E-03
-222.5000E-03,+2.5017578E+00,-28.2227E-03
-222.0000E-03,+2.5003906E+00,-28.0273E-03
-221.5000E-03,+2.4980469E+00,-27.7344E-03
-221.0000E-03,+2.4947266E+00,-27.7344E-03
-220.5000E-03,+2.4923828E+00,-27.6367E-03
-220.0000E-03,+2.4900391E+00,-27.2461E-03
-219.5000E-03,+2.4880859E+00,-27.0508E-03
-219.0000E-03,+2.4855469E+00,-26.9531E-03
-218.5000E-03,+2.4832031E+00,-26.6602E-03
-218.0000E-03,+2.4816406E+00,-26.3672E-03
-217.5000E-03,+2.4800781E+00,-25.9766E-03
-217.0000E-03,+2.4777344E+00,-25.6836E-03
-216.5000E-03,+2.4750000E+00,-25.2930E-03
-216.0000E-03,+2.4734375E+00,-24.6094E-03
-215.5000E-03,+2.4720703E+00,-24.0234E-03
-215.0000E-03,+2.4691406E+00,-23.6328E-03
-214.5000E-03,+2.4669922E+00,-23.2422E-03
-214.0000E-03,+2.4648437E+00,-22.6563E-03
-213.5000E-03,+2.4634766E+00,-21.9727E-03
-213.0000E-03,+2.4615234E+00,-21.4844E-03
-212.5000E-03,+2.4593750E+00,-21.0938E-03
-212.0000E-03,+2.4574219E+00,-20.4102E-03
-211.5000E-03,+2.4558594E+00,-19.6289E-03
-211.0000E-03,+2.4541016E+00,-19.0430E-03
-210.5000E-03,+2.4519531E+00,-18.4570E-03
-210.0000E-03,+2.4500000E+00,-17.8711E-03
-209.5000E-03,+2.4486328E+00,-17.3828E-03
-209.0000E-03,+2.4476562E+00,-16.6016E-03
-208.5000E-03,+2.4455078E+00,-15.9180E-03
-208.0000E-03,+2.4439453E+00,-15.3320E-03
-207.5000E-03,+2.4427734E+00,-14.5508E-03
-207.0000E-03,+2.4423828E+00,-13.8672E-03
-206.5000E-03,+2.4408203E+00,-13.0859E-03
-206.0000E-03,+2.4388672E+00,-12.3047E-03
-205.5000E-03,+2.4390625E+00,-11.4258E-03
-205.0000E-03,+2.4382812E+00,-10.6445E-03
-204.5000E-03,+2.4361328E+00,-9.9609E-03
-204.0000E-03,+2.4347656E+00,-9.4727E-03
-203.5000E-03,+2.4333984E+00,-8.7891E-03
-203.0000E-03,+2.4339844E+00,-7.9102E-03
-202.5000E-03,+2.4333984E+00,-7.0313E-03
-202.0000E-03,+2.4326172E+00,-6.2500E-03
-201.5000E-03,+2.4318359E+00,-5.6641E-03
-201.0000E-03,+2.4328125E+00,-4.6875E-03
-200.5000E-03,+2.4322266E+00,-4.0039E-03
-200.0000E-03,+2.4316406E+00,-3.4180E-03
-199.5000E-03,+2.4310547E+00,-2.6367E-03
-199.0000E-03,+2.4324219E+00,-1.8555E-03
-198.5000E-03,+2.4324219E+00,-1.1719E-03
-198.0000E-03,+2.4320312E+00,-585.9E-06
-197.5000E-03,+2.4318359E+00,+0.0E+00
-197.0000E-03,+2.4320312E+00,+976.6E-06
-196.5000E-03,+2.4326172E+00,+2.0508E-03
-196.0000E-03,+2.4337891E+00,+2.5391E-03
-195.5000E-03,+2.4343750E+00,+3.3203E-03
-195.0000E-03,+2.4347656E+00,+4.1016E-03
-194.5000E-03,+2.4355469E+00,+4.9805E-03
-194.0000E-03,+2.4357422E+00,+5.6641E-03
-193.5000E-03,+2.4357422E+00,+6.3477E-03
-193.0000E-03,+2.4373047E+00,+6.9336E-03
-192.5000E-03,+2.4384766E+00,+7.7148E-03
-192.0000E-03,+2.4388672E+00,+8.4961E-03
-191.5000E-03,+2.4388672E+00,+8.9844E-03
-191.0000E-03,+2.4400391E+00,+9.8633E-03
-190.5000E-03,+2.4410156E+00,+10.5469E-03
-190.0000E-03,+2.4427734E+00,+11.2305E-03
-189.5000E-03,+2.4437500E+00,+11.8164E-03
-189.0000E-03,+2.4447266E+00,+12.5000E-03
-188.5000E-03,+2.4476562E+00,+13.2813E-03
-188.0000E-03,+2.4490234E+00,+13.6719E-03
-187.5000E-03,+2.4490234E+00,+14.2578E-03
-187.0000E-03,+2.4503906E+00,+15.0391E-03
-186.5000E-03,+2.4519531E+00,+15.4297E-03
-186.0000E-03,+2.4541016E+00,+16.0156E-03
-185.5000E-03,+2.4558594E+00,+16.5039E-03
-185.0000E-03,+2.4570312E+00,+16.7969E-03
-184.5000E-03,+2.4603516E+00,+17.4805E-03
-184.0000E-03,+2.4623047E+00,+18.1641E-03
-183.5000E-03,+2.4640625E+00,+18.4570E-03
-183.0000E-03,+2.4654297E+00,+18.8477E-03
-182.5000E-03,+2.4681641E+00,+19.1406E-03
-182.0000E-03,+2.4710937E+00,+19.6289E-03
-181.5000E-03,+2.4730469E+00,+19.9219E-03
-181.0000E-03,+2.4755859E+00,+20.3125E-03
-180.5000E-03,+2.4771484E+00,+20.4102E-03
-180.0000E-03,+2.4798828E+00,+20.8008E-03
-179.5000E-03,+2.4826172E+00,+21.0938E-03
-179.0000E-03,+2.4841797E+00,+21.0938E-03
-178.5000E-03,+2.4867187E+00,+21.2891E-03
-178.0000E-03,+2.4894531E+00,+21.5820E-03
-177.5000E-03,+2.4919922E+00,+21.6797E-03
-177.0000E-03,+2.4935547E+00,+21.6797E-03
-176.5000E-03,+2.4951172E+00,+21.8750E-03
-176.0000E-03,+2.4974609E+00,+21.8750E-03
-175.5000E-03,+2.4996094E+00,+22.0703E-03
-175.0000E-03,+2.5011719E+00,+21.9727E-03
-174.5000E-03,+2.5031250E+00,+21.8750E-03
-174.0000E-03,+2.5056641E+00,+21.7773E-03
-173.5000E-03,+2.5093750E+00,+21.8750E-03
-173.0000E-03,+2.5113281E+00,+21.6797E-03
-172.5000E-03,+2.5132813E+00,+21.6797E-03
-172.0000E-03,+2.5160156E+00,+21.3867E-03
-171.5000E-03,+2.5193359E+00,+21.3867E-03
-171.0000E-03,+2.5210938E+00,+20.9961E-03
-170.5000E-03,+2.5224609E+00,+20.7031E-03
-170.0000E-03,+2.5251953E+00,+20.5078E-03
-169.5000E-03,+2.5279297E+00,+20.1172E-03
-169.0000E-03,+2.5302734E+00,+20.0195E-03
-168.5000E-03,+2.5312500E+00,+19.6289E-03
-168.0000E-03,+2.5337891E+00,+19.2383E-03
-167.5000E-03,+2.5376953E+00,+19.0430E-03
-167.0000E-03,+2.5404297E+00,+18.6523E-03
-166.5000E-03,+2.5416016E+00,+18.2617E-03
-166.0000E-03,+2.5433594E+00,+17.8711E-03
-165.5000E-03,+2.5464844E+00,+17.4805E-03
-165.0000E-03,+2.5482422E+00,+17.0898E-03
-164.5000E-03,+2.5498047E+00,+16.5039E-03
-164.0000E-03,+2.5517578E+00,+15.8203E-03
-163.5000E-03,+2.5542969E+00,+15.4297E-03
-163.0000E-03,+2.5564453E+00,+15.0391E-03
-162.5000E-03,+2.5582031E+00,+14.3555E-03
-162.0000E-03,+2.5595703E+00,+13.6719E-03
-161.5000E-03,+2.5615234E+00,+12.9883E-03
-161.0000E-03,+2.5646484E+00,+12.6953E-03
-160.5000E-03,+2.5656250E+00,+12.1094E-03
-160.0000E-03,+2.5666016E+00,+11.2305E-03
-159.5000E-03,+2.5681641E+00,+10.7422E-03
-159.0000E-03,+2.5701172E+00,+9.9609E-03
-158.5000E-03,+2.5712891E+00,+9.3750E-03
-158.0000E-03,+2.5714844E+00,+8.5938E-03
-157.5000E-03,+2.5724609E+00,+7.7148E-03
-157.0000E-03,+2.5748047E+00,+7.1289E-03
-156.5000E-03,+2.5757813E+00,+6.5430E-03
-156.0000E-03,+2.5769531E+00,+5.7617E-03
-155.5000E-03,+2.5771484E+00,+4.8828E-03
-155.0000E-03,+2.5792969E+00,+4.2969E-03
-154.5000E-03,+2.5796875E+00,+3.6133E-03
-154.0000E-03,+2.5798828E+00,+2.7344E-03
-153.5000E-03,+2.5804688E+00,+1.9531E-03
-153.0000E-03,+2.5824219E+00,+1.2695E-03
-152.5000E-03,+2.5826172E+00,+585.9E-06
-152.0000E-03,+2.5826172E+00,-390.6E-06
-151.5000E-03,+2.5828125E+00,-1.1719E-03
-151.0000E-03,+2.5843750E+00,-2.1484E-03
-150.5000E-03,+2.5851563E+00,-2.8320E-03
-150.0000E-03,+2.5857422E+00,-3.5156E-03
-149.5000E-03,+2.5855469E+00,-4.2969E-03
-149.0000E-03,+2.5853516E+00,-5.0781E-03
-148.5000E-03,+2.5849609E+00,-5.8594E-03
-148.0000E-03,+2.5851563E+00,-6.6406E-03
-147.5000E-03,+2.5847656E+00,-7.4219E-03
-147.0000E-03,+2.5841797E+00,-8.0078E-03
-146.5000E-03,+2.5855469E+00,-8.7891E-03
-146.0000E-03,+2.5853516E+00,-9.5703E-03
-145.5000E-03,+2.5847656E+00,-10.4492E-03
-145.0000E-03,+2.5837891E+00,-11.2305E-03
-144.5000E-03,+2.5843750E+00,-11.8164E-03
-144.0000E-03,+2.5833984E+00,-12.5977E-03
-143.5000E-03,+2.5818359E+00,-13.4766E-03
-143.0000E-03,+2.5806641E+00,-14.1602E-03
-142.5000E-03,+2.5802734E+00,-14.7461E-03
-142.0000E-03,+2.5781250E+00,-15.4297E-03
-141.5000E-03,+2.5771484E+00,-16.4063E-03
-141.0000E-03,+2.5753906E+00,-17.0898E-03
-140.5000E-03,+2.5746094E+00,-17.6758E-03
-140.0000E-03,+2.5736328E+00,-18.1641E-03
-139.5000E-03,+2.5728516E+00,-18.7500E-03
-139.0000E-03,+2.5707031E+00,-19.6289E-03
-138.5000E-03,+2.5693359E+00,-20.1172E-03
-138.0000E-03,+2.5687500E+00,-20.6055E-03
-137.5000E-03,+2.5666016E+00,-21.1914E-03
-137.0000E-03,+2.5644531E+00,-21.7773E-03
-136.5000E-03,+2.5626953E+00,-22.2656E-03
-136.0000E-03,+2.5615234E+00,-22.6563E-03
-135.5000E-03,+2.5599609E+00,-23.2422E-03
-135.0000E-03,+2.5572266E+00,-23.8281E-03
-134.5000E-03,+2.5558594E+00,-24.4141E-03
-134.0000E-03,+2.5548828E+00,-24.6094E-03
-133.5000E-03,+2.5537109E+00,-25.1953E-03
-133.0000E-03,+2.5509766E+00,-25.4883E-03
-132.5000E-03,+2.5488281E+00,-25.7813E-03
-132.0000E-03,+2.5474609E+00,-26.2695E-03
-131.5000E-03,+2.5457031E+00,-26.4648E-03
-131.0000E-03,+2.5427734E+00,-26.6602E-03
-130.5000E-03,+2.5402344E+00,-26.8555E-03
-130.0000E-03,+2.5384766E+00,-27.2461E-03
-129.5000E-03,+2.5363281E+00,-27.3438E-03
-129.0000E-03,+2.5339844E+00,-27.7344E-03
-128.5000E-03,+2.5310547E+00,-27.9297E-03
-128.0000E-03,+2.5285156E+00,-28.1250E-03
-127.5000E-03,+2.5273438E+00,-28.1250E-03
-127.0000E-03,+2.5251953E+00,-28.2227E-03
-126.5000E-03,+2.5216797E+00,-28.3203E-03
-126.0000E-03,+2.5193359E+00,-28.4180E-03
-125.5000E-03,+2.5175781E+00,-28.4180E-03
-125.0000E-03,+2.5148438E+00,-28.4180E-03
-124.5000E-03,+2.5111328E+00,-28.4180E-03
-124.0000E-03,+2.5093750E+00,-28.5156E-03
-123.5000E-03,+2.5074219E+00,-28.5156E-03
-123.0000E-03,+2.5054688E+00,-28.5156E-03
-122.5000E-03,+2.5023438E+00,-28.4180E-03
-122.0000E-03,+2.4992187E+00,-28.2227E-03
-121.5000E-03,+2.4974609E+00,-27.9297E-03
-121.0000E-03,+2.4951172E+00,-27.7344E-03
-120.5000E-03,+2.4921875E+00,-27.7344E-03
-120.0000E-03,+2.4896484E+00,-27.5391E-03
-119.5000E-03,+2.4876953E+00,-27.0508E-03
-119.0000E-03,+2.4861328E+00,-26.7578E-03
-118.5000E-03,+2.4835937E+00,-26.5625E-03
-118.0000E-03,+2.4816406E+00,-26.1719E-03
-117.5000E-03,+2.4798828E+00,-25.6836E-03
-117.0000E-03,+2.4779297E+00,-25.2930E-03
-116.5000E-03,+2.4759766E+00,-25.0000E-03
-116.0000E-03,+2.4728516E+00,-24.8047E-03
-115.5000E-03,+2.4710937E+00,-24.4141E-03
